iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative,excess_mortality
SYC,Africa,Seychelles,9/23/2021,21180,0,83.857,110,0,0.571,214134.061,0,847.813,1112.122,0,5.777,0.69,,,,,,,,,,,,,,,,,,148402,77311,71091,,,129,150.04,78.16,71.87,,1304,84.26,98910,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796,,
SLE,Africa,Sierra Leone,9/23/2021,6393,0,0.714,121,0,0,785.251,0,0.088,14.862,0,0,0.66,,,,,,,,,,,,,,,,,,221110,181065,40045,,,1621,2.72,2.22,0.49,,199,29.63,8141343,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,,
SGP,Asia,Singapore,9/23/2021,82860,1504,1144.571,70,2,1.571,14051.965,255.059,194.104,11.871,0.339,0.266,1.25,19,3.222,,,,,,,,19108195,3240.498,,67054,11.371,0.012,85.2,samples tested,9199565,4671857,4560622,,22702,18109,156.01,79.23,77.34,,3071,52.78,5896684,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,,
SXM,North America,Sint Maarten (Dutch part),9/17/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49159,25672,23487,,,40,113.21,59.12,54.09,,921,,43421,1209.088,,,,36327.232,,,,,,,,78.95,,,
SVK,Europe,Slovakia,9/23/2021,405931,949,797.571,12592,3,3.714,74336.453,173.786,146.056,2305.92,0.549,0.68,1.56,,,282,51.641,2.001,0.366,33.017,6.046,12540,41565148,7611.652,2.296,23782,4.355,0.034,29.4,tests performed,4666195,2428864,2237331,,17,3766,85.45,44.48,40.97,,690,30.56,5460726,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,,
SVN,Europe,Slovenia,9/23/2021,287278,1011,962,4521,5,5,138199.269,486.356,462.784,2174.893,2.405,2.405,1.27,95,45.701,360,173.183,61.493,29.582,258.866,124.531,5728,1535730,738.785,2.756,5178,2.491,0.199,5,tests performed,2090618,1108278,982340,,12303,9753,100.57,53.32,47.26,,4692,35.19,2078723,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25,,4.5,81.32,0.917,,
SLB,Oceania,Solomon Islands,9/23/2021,20,0,0,,,0,28.409,0,0,,,0,,,,,,,,,,,,,,,,,,,97744,74573,23171,,,1867,13.88,10.59,3.29,,2652,38.89,703995,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73,0.567,,
SOM,Africa,Somalia,9/23/2021,19583,348,109,1099,20,8.286,1197.041,21.272,6.663,67.178,1.223,0.506,1.26,,,,,,,,,,,,,,,,,,430762,249200,181599,,,10241,2.63,1.52,1.11,,626,35.19,16359500,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,,
ZAF,Africa,South Africa,9/23/2021,2892081,2783,2666.571,86655,155,125.143,48167.636,46.351,44.412,1443.24,2.582,2.084,0.62,,,,,,,,,30987,17352945,289.013,0.516,39958,0.666,0.087,11.4,people tested,16755133,12115821,8344762,,194415,153048,27.91,20.18,13.9,,2549,45.37,60041996,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,,
OWID_SAM,,South America,9/23/2021,37603210,30989,41276,1149794,856,772,86591.438,71.36,95.049,2647.708,1.971,1.778,,,,,,,,,,,,,,,,,,,421369430,259954067,166546068,3678972,2583485,1910325,97.03,59.86,38.35,0.85,4399,,434260138,,,,,,,,,,,,,,,,
KOR,Asia,Korea,9/23/2021,295132,2433,1884.857,2434,7,6.429,5752.479,47.422,36.738,47.442,0.136,0.125,1.09,,,,,,,,,17966,13116349,255.653,0.35,20850,0.406,0.066,15.1,people tested,49641439,37132188,13929897,,720478,293226,96.76,72.38,27.15,,5715,47.22,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,
SSD,Africa,South Sudan,9/23/2021,11899,38,15.571,128,7,1,1045.48,3.339,1.368,11.246,0.615,0.088,1.14,,,,,,,,,,,,,,,,,,100621,72173,28448,,,2157,0.88,0.63,0.25,,190,25,11381377,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,,
ESP,Europe,Spain,9/23/2021,4943855,3031,2504.429,86185,100,63.714,105761.743,64.841,53.576,1843.718,2.139,1.363,0.73,1028,21.992,3809,81.484,20.739,0.444,382.197,8.176,,57549938,1231.141,,83593,1.788,0.04,25.1,tests performed,69642236,37538323,36259105,,93158,98149,148.98,80.3,77.57,,2100,42.13,46745211,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,,
LKA,Asia,Sri Lanka,9/23/2021,510040,1368,1620.857,12448,72,90.143,23725.764,63.636,75.398,579.049,3.349,4.193,0.72,,,,,,,,,8338,5201578,241.964,0.388,9752,0.454,0.257,3.9,tests performed,25339522,14032696,11306826,,228645,125153,117.87,65.28,52.6,,5822,,21497306,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,,3.6,76.98,0.782,,
SDN,Africa,Sudan,9/23/2021,38077,27,11.714,2894,13,2.714,847.864,0.601,0.261,64.441,0.289,0.06,0.81,,,,,,,,,,,,,,,,,,1499982,649062,581846,,,18956,3.34,1.45,1.3,,422,13.89,44909351,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,
SUR,South America,Suriname,9/23/2021,39140,371,474.714,828,3,5.714,66137.432,626.903,802.156,1399.126,5.069,9.656,1.32,,,,,,,,,,,,,,,,,,387552,222408,165144,,2127,1644,65.49,37.58,27.91,,2778,58.33,591798,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,,
